Id,SalePrice
1461,135000
1462,171000
1463,153575
1464,230500
1465,179900
1466,230500
1467,145250
1468,230500
1469,135000
1470,230500
1471,145250
1472,84900
1473,84900
1474,168500
1475,134800
1476,153575
1477,129500
1478,129500
1479,124900
1480,124900
1481,153575
1482,135000
1483,311872
1484,221500
1485,153575
1486,230500
1487,153575
1488,129500
1489,135000
1490,145250
1491,230500
1492,135000
1493,124900
1494,153575
1495,145250
1496,221500
1497,136905
1498,92000
1499,92000
1500,92000
1501,92000
1502,92000
1503,124900
1504,230500
1505,145250
1506,129500
1507,230500
1508,153575
1509,230500
1510,135000
1511,135000
1512,207500
1513,230500
1514,129500
1515,129500
1516,153575
1517,153575
1518,129500
1519,145250
1520,135000
1521,135000
1522,129500
1523,230500
1524,135000
1525,135000
1526,311872
1527,135000
1528,230500
1529,135000
1530,145250
1531,136905
1532,179900
1533,145250
1534,230500
1535,207500
1536,145250
1537,135000
1538,230500
1539,230500
1540,84900
1541,207500
1542,179900
1543,230500
1544,230500
1545,230500
1546,179900
1547,230500
1548,230500
1549,230500
1550,230500
1551,145250
1552,230500
1553,153575
1554,92000
1555,124900
1556,207500
1557,135000
1558,230500
1559,230500
1560,230500
1561,129500
1562,135000
1563,230500
1564,135000
1565,230500
1566,311872
1567,135000
1568,153575
1569,311872
1570,135000
1571,145250
1572,135000
1573,311872
1574,135000
1575,186000
1576,230500
1577,135000
1578,207500
1579,135000
1580,230500
1581,311872
1582,135000
1583,129500
1584,230500
1585,179900
1586,135000
1587,135000
1588,145250
1589,207500
1590,135000
1591,179900
1592,221500
1593,230500
1594,230500
1595,230500
1596,145250
1597,153575
1598,311872
1599,221500
1600,221500
1601,230500
1602,230500
1603,135000
1604,221500
1605,230500
1606,145250
1607,129500
1608,135000
1609,135000
1610,230500
1611,311872
1612,129500
1613,135000
1614,92000
1615,84900
1616,84900
1617,84900
1618,135000
1619,110000
1620,230500
1621,230500
1622,230500
1623,145250
1624,153575
1625,135000
1626,129500
1627,230500
1628,230500
1629,230500
1630,129500
1631,145250
1632,129500
1633,230500
1634,230500
1635,230500
1636,135000
1637,230500
1638,153575
1639,129500
1640,153575
1641,129500
1642,230500
1643,230500
1644,230500
1645,207500
1646,135000
1647,135000
1648,135000
1649,135000
1650,230500
1651,135000
1652,84900
1653,84900
1654,168500
1655,134800
1656,168500
1657,168500
1658,168500
1659,134800
1660,153575
1661,153575
1662,230500
1663,124900
1664,124900
1665,124900
1666,124900
1667,311872
1668,129500
1669,129500
1670,124900
1671,124900
1672,124900
1673,153575
1674,145250
1675,145250
1676,221500
1677,135000
1678,124900
1679,124900
1680,129500
1681,145250
1682,255500
1683,221500
1684,230500
1685,230500
1686,221500
1687,230500
1688,230500
1689,230500
1690,230500
1691,230500
1692,207500
1693,230500
1694,230500
1695,230500
1696,153575
1697,230500
1698,153575
1699,129500
1700,230500
1701,230500
1702,129500
1703,129500
1704,129500
1705,145250
1706,145250
1707,135000
1708,145250
1709,124900
1710,145250
1711,230500
1712,129500
1713,145250
1714,145250
1715,230500
1716,135000
1717,145250
1718,135000
1719,230500
1720,145250
1721,135000
1722,135000
1723,135000
1724,145250
1725,230500
1726,230500
1727,135000
1728,230500
1729,230500
1730,230500
1731,135000
1732,230500
1733,135000
1734,135000
1735,135000
1736,135000
1737,124900
1738,230500
1739,168500
1740,221500
1741,221500
1742,92000
1743,179900
1744,124900
1745,124900
1746,145250
1747,153575
1748,230500
1749,129500
1750,135000
1751,153575
1752,135000
1753,129500
1754,230500
1755,311872
1756,230500
1757,135000
1758,135000
1759,124900
1760,135000
1761,135000
1762,230500
1763,129500
1764,135000
1765,145250
1766,207500
1767,186000
1768,145250
1769,124900
1770,135000
1771,135000
1772,145250
1773,135000
1774,129500
1775,135000
1776,207500
1777,135000
1778,135000
1779,135000
1780,207500
1781,135000
1782,179900
1783,230500
1784,230500
1785,135000
1786,145250
1787,230500
1788,230500
1789,135000
1790,135000
1791,230500
1792,207500
1793,135000
1794,135000
1795,135000
1796,135000
1797,230500
1798,135000
1799,230500
1800,135000
1801,230500
1802,145250
1803,230500
1804,135000
1805,135000
1806,179900
1807,230500
1808,207500
1809,230500
1810,230500
1811,84900
1812,230500
1813,230500
1814,135000
1815,179900
1816,135000
1817,230500
1818,230500
1819,136905
1820,345000
1821,145250
1822,230500
1823,135000
1824,145250
1825,230500
1826,230500
1827,179900
1828,230500
1829,135000
1830,84900
1831,145250
1832,168500
1833,84900
1834,230500
1835,230500
1836,136905
1837,179900
1838,207500
1839,179900
1840,135000
1841,135000
1842,230500
1843,135000
1844,135000
1845,153575
1846,311872
1847,124900
1848,135000
1849,311872
1850,135000
1851,230500
1852,145250
1853,179900
1854,135000
1855,311872
1856,230500
1857,311872
1858,230500
1859,129500
1860,135000
1861,129500
1862,230500
1863,230500
1864,230500
1865,129500
1866,145250
1867,145250
1868,124900
1869,145250
1870,135000
1871,135000
1872,230500
1873,153575
1874,135000
1875,129500
1876,230500
1877,135000
1878,145250
1879,311872
1880,135000
1881,124900
1882,230500
1883,230500
1884,230500
1885,311872
1886,124900
1887,135000
1888,145250
1889,230500
1890,135000
1891,221500
1892,179900
1893,153575
1894,129500
1895,129500
1896,230500
1897,230500
1898,230500
1899,135000
1900,230500
1901,153575
1902,153575
1903,84900
1904,135000
1905,124900
1906,153575
1907,255500
1908,84900
1909,168500
1910,168500
1911,153575
1912,124900
1913,230500
1914,135000
1915,221500
1916,311872
1917,230500
1918,135000
1919,145250
1920,129500
1921,124900
1922,124900
1923,129500
1924,255500
1925,230500
1926,124900
1927,135000
1928,129500
1929,135000
1930,129500
1931,135000
1932,230500
1933,230500
1934,230500
1935,230500
1936,230500
1937,153575
1938,129500
1939,129500
1940,179900
1941,230500
1942,153575
1943,145250
1944,153575
1945,124900
1946,150900
1947,129500
1948,150900
1949,124900
1950,135000
1951,311872
1952,124900
1953,135000
1954,145250
1955,230500
1956,230500
1957,129500
1958,153575
1959,230500
1960,135000
1961,135000
1962,84900
1963,84900
1964,168500
1965,168500
1966,345000
1967,124900
1968,124900
1969,124900
1970,153575
1971,153575
1972,153575
1973,230500
1974,230500
1975,145250
1976,129500
1977,153575
1978,153575
1979,129500
1980,129500
1981,129500
1982,135000
1983,135000
1984,168500
1985,221500
1986,221500
1987,221500
1988,230500
1989,230500
1990,230500
1991,145250
1992,230500
1993,230500
1994,230500
1995,230500
1996,230500
1997,145250
1998,129500
1999,230500
2000,230500
2001,230500
2002,129500
2003,145250
2004,230500
2005,129500
2006,145250
2007,129500
2008,145250
2009,230500
2010,230500
2011,135000
2012,135000
2013,230500
2014,230500
2015,153575
2016,230500
2017,230500
2018,135000
2019,135000
2020,135000
2021,135000
2022,311872
2023,207500
2024,230500
2025,145250
2026,221500
2027,92000
2028,92000
2029,168500
2030,221500
2031,221500
2032,221500
2033,221500
2034,168500
2035,230500
2036,168500
2037,168500
2038,168500
2039,135000
2040,153575
2041,124900
2042,230500
2043,207500
2044,129500
2045,255500
2046,129500
2047,230500
2048,230500
2049,129500
2050,207500
2051,207500
2052,207500
2053,135000
2054,230500
2055,129500
2056,135000
2057,135000
2058,153575
2059,135000
2060,207500
2061,124900
2062,135000
2063,135000
2064,135000
2065,135000
2066,153575
2067,129500
2068,129500
2069,135000
2070,230500
2071,230500
2072,135000
2073,135000
2074,132500
2075,135000
2076,135000
2077,135000
2078,135000
2079,230500
2080,179900
2081,230500
2082,129500
2083,230500
2084,135000
2085,135000
2086,135000
2087,230500
2088,230500
2089,179900
2090,230500
2091,230500
2092,230500
2093,230500
2094,179900
2095,207500
2096,135000
2097,230500
2098,230500
2099,230500
2100,129500
2101,230500
2102,230500
2103,230500
2104,84900
2105,230500
2106,135000
2107,230500
2108,135000
2109,135000
2110,145250
2111,145250
2112,230500
2113,179900
2114,230500
2115,230500
2116,179900
2117,230500
2118,230500
2119,179900
2120,230500
2121,179900
2122,230500
2123,179900
2124,136905
2125,230500
2126,230500
2127,129500
2128,230500
2129,179900
2130,230500
2131,145250
2132,135000
2133,135000
2134,230500
2135,135000
2136,135000
2137,135000
2138,135000
2139,135000
2140,135000
2141,145250
2142,135000
2143,135000
2144,124900
2145,135000
2146,124900
2147,129500
2148,230500
2149,135000
2150,311872
2151,230500
2152,311872
2153,207500
2154,135000
2155,230500
2156,230500
2157,145250
2158,153575
2159,145250
2160,230500
2161,129500
2162,145250
2163,129500
2164,124900
2165,124900
2166,135000
2167,145250
2168,207500
2169,230500
2170,132500
2171,124900
2172,135000
2173,124900
2174,145250
2175,145250
2176,124900
2177,230500
2178,230500
2179,179900
2180,129500
2181,135000
2182,129500
2183,135000
2184,135000
2185,135000
2186,145250
2187,135000
2188,230500
2189,150900
2190,135000
2191,135000
2192,135000
2193,207500
2194,135000
2195,129500
2196,135000
2197,179900
2198,129500
2199,230500
2200,230500
2201,153575
2202,230500
2203,230500
2204,207500
2205,230500
2206,230500
2207,84900
2208,207500
2209,150900
2210,84900
2211,135000
2212,179900
2213,230500
2214,230500
2215,135000
2216,230500
2217,311872
2218,230500
2219,179900
2220,230500
2221,221500
2222,221500
2223,311872
2224,230500
2225,230500
2226,145250
2227,221500
2228,129500
2229,230500
2230,230500
2231,230500
2232,124900
2233,311872
2234,135000
2235,145250
2236,124900
2237,129500
2238,135000
2239,135000
2240,221500
2241,311872
2242,179900
2243,168500
2244,84900
2245,84900
2246,311872
2247,84900
2248,230500
2249,179900
2250,135000
2251,150900
2252,129500
2253,230500
2254,230500
2255,230500
2256,230500
2257,230500
2258,135000
2259,230500
2260,311872
2261,179900
2262,145250
2263,230500
2264,150900
2265,150900
2266,129500
2267,124900
2268,124900
2269,135000
2270,230500
2271,129500
2272,230500
2273,135000
2274,135000
2275,124900
2276,145250
2277,230500
2278,145250
2279,135000
2280,311872
2281,221500
2282,135000
2283,84900
2284,92000
2285,134800
2286,135000
2287,124900
2288,129500
2289,124900
2290,153575
2291,153575
2292,124900
2293,124900
2294,153575
2295,124900
2296,153575
2297,230500
2298,124900
2299,153575
2300,153575
2301,230500
2302,129500
2303,129500
2304,145250
2305,221500
2306,221500
2307,145250
2308,221500
2309,145250
2310,135000
2311,221500
2312,153575
2313,230500
2314,230500
2315,230500
2316,230500
2317,129500
2318,230500
2319,230500
2320,135000
2321,221500
2322,221500
2323,311872
2324,230500
2325,129500
2326,230500
2327,230500
2328,230500
2329,230500
2330,230500
2331,145250
2332,145250
2333,145250
2334,230500
2335,230500
2336,230500
2337,135000
2338,124900
2339,129500
2340,129500
2341,135000
2342,145250
2343,145250
2344,230500
2345,145250
2346,135000
2347,135000
2348,230500
2349,230500
2350,230500
2351,135000
2352,129500
2353,230500
2354,135000
2355,135000
2356,135000
2357,145250
2358,230500
2359,230500
2360,230500
2361,145250
2362,153575
2363,135000
2364,135000
2365,221500
2366,221500
2367,221500
2368,221500
2369,221500
2370,168500
2371,168500
2372,145250
2373,230500
2374,230500
2375,207500
2376,129500
2377,124900
2378,135000
2379,230500
2380,135000
2381,207500
2382,145250
2383,145250
2384,230500
2385,135000
2386,135000
2387,135000
2388,135000
2389,135000
2390,311872
2391,135000
2392,135000
2393,135000
2394,135000
2395,230500
2396,129500
2397,311872
2398,153575
2399,179900
2400,230500
2401,179900
2402,207500
2403,129500
2404,135000
2405,207500
2406,230500
2407,135000
2408,230500
2409,135000
2410,129500
2411,135000
2412,124900
2413,135000
2414,135000
2415,129500
2416,135000
2417,135000
2418,135000
2419,230500
2420,135000
2421,145250
2422,311872
2423,153575
2424,145250
2425,153575
2426,207500
2427,230500
2428,230500
2429,135000
2430,135000
2431,145250
2432,135000
2433,207500
2434,135000
2435,135000
2436,135000
2437,179900
2438,135000
2439,135000
2440,230500
2441,179900
2442,345000
2443,135000
2444,230500
2445,230500
2446,145250
2447,230500
2448,230500
2449,230500
2450,230500
2451,136905
2452,153575
2453,135000
2454,129500
2455,230500
2456,230500
2457,230500
2458,230500
2459,179900
2460,230500
2461,230500
2462,230500
2463,179900
2464,230500
2465,230500
2466,230500
2467,230500
2468,179900
2469,179900
2470,153575
2471,230500
2472,84900
2473,179900
2474,230500
2475,153575
2476,179900
2477,135000
2478,124900
2479,311872
2480,311872
2481,135000
2482,135000
2483,135000
2484,135000
2485,230500
2486,129500
2487,153575
2488,230500
2489,124900
2490,311872
2491,135000
2492,129500
2493,311872
2494,311872
2495,311872
2496,129500
2497,230500
2498,179900
2499,135000
2500,221500
2501,135000
2502,135000
2503,230500
2504,311872
2505,230500
2506,145250
2507,129500
2508,129500
2509,129500
2510,145250
2511,135000
2512,230500
2513,230500
2514,311872
2515,311872
2516,230500
2517,135000
2518,311872
2519,230500
2520,230500
2521,230500
2522,230500
2523,135000
2524,135000
2525,135000
2526,135000
2527,311872
2528,135000
2529,230500
2530,230500
2531,145250
2532,230500
2533,230500
2534,129500
2535,153575
2536,153575
2537,311872
2538,230500
2539,135000
2540,135000
2541,230500
2542,230500
2543,135000
2544,135000
2545,153575
2546,135000
2547,145250
2548,230500
2549,230500
2550,132500
2551,221500
2552,230500
2553,135000
2554,135000
2555,135000
2556,135000
2557,230500
2558,153575
2559,129500
2560,230500
2561,179900
2562,230500
2563,230500
2564,230500
2565,153575
2566,145250
2567,179900
2568,150900
2569,311872
2570,84900
2571,311872
2572,221500
2573,311872
2574,124900
2575,230500
2576,230500
2577,230500
2578,345000
2579,135000
2580,84900
2581,230500
2582,230500
2583,129500
2584,124900
2585,135000
2586,124900
2587,129500
2588,135000
2589,135000
2590,221500
2591,311872
2592,129500
2593,129500
2594,135000
2595,145250
2596,129500
2597,129500
2598,230500
2599,124900
2600,150900
2601,135000
2602,168500
2603,84900
2604,168500
2605,84900
2606,135000
2607,153575
2608,150900
2609,230500
2610,179900
2611,150900
2612,135000
2613,135000
2614,135000
2615,135000
2616,207500
2617,129500
2618,150900
2619,129500
2620,230500
2621,230500
2622,230500
2623,153575
2624,153575
2625,129500
2626,135000
2627,221500
2628,153575
2629,153575
2630,230500
2631,153575
2632,153575
2633,129500
2634,255500
2635,135000
2636,230500
2637,145250
2638,230500
2639,230500
2640,135000
2641,135000
2642,135000
2643,92000
2644,234000
2645,84900
2646,84900
2647,84900
2648,179900
2649,145250
2650,134800
2651,234000
2652,153575
2653,129500
2654,129500
2655,124900
2656,153575
2657,145250
2658,153575
2659,230500
2660,145250
2661,124900
2662,124900
2663,153575
2664,145250
2665,145250
2666,145250
2667,230500
2668,230500
2669,135000
2670,230500
2671,230500
2672,221500
2673,221500
2674,221500
2675,221500
2676,230500
2677,230500
2678,230500
2679,230500
2680,230500
2681,145250
2682,230500
2683,153575
2684,230500
2685,145250
2686,153575
2687,124900
2688,129500
2689,135000
2690,129500
2691,230500
2692,135000
2693,135000
2694,135000
2695,230500
2696,230500
2697,230500
2698,129500
2699,135000
2700,135000
2701,230500
2702,135000
2703,145250
2704,135000
2705,135000
2706,135000
2707,230500
2708,135000
2709,135000
2710,135000
2711,153575
2712,145250
2713,221500
2714,92000
2715,92000
2716,179900
2717,230500
2718,145250
2719,124900
2720,207500
2721,135000
2722,230500
2723,135000
2724,135000
2725,135000
2726,135000
2727,145250
2728,135000
2729,230500
2730,135000
2731,230500
2732,135000
2733,145250
2734,124900
2735,135000
2736,230500
2737,135000
2738,129500
2739,135000
2740,135000
2741,135000
2742,135000
2743,135000
2744,135000
2745,135000
2746,135000
2747,129500
2748,135000
2749,207500
2750,153575
2751,311872
2752,311872
2753,153575
2754,153575
2755,230500
2756,135000
2757,135000
2758,230500
2759,230500
2760,230500
2761,135000
2762,135000
2763,145250
2764,207500
2765,153575
2766,153575
2767,135000
2768,129500
2769,207500
2770,135000
2771,135000
2772,135000
2773,230500
2774,145250
2775,179900
2776,230500
2777,230500
2778,230500
